Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,Bermuda,,NYSE,ATH.A
ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share,Bermuda,,NYSE,ATH.B
ATH^C,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C,Bermuda,,NYSE,ATH.C
ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D,Bermuda,,NYSE,ATH.D
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,,2013,NYSE,ATHM
ATHN,Athena Technology Acquisition Corp. Class A Common Stock,,2021,NYSE,ATHN
ATI,Allegheny Technologies Incorporated Common Stock,United States,,NYSE,ATI
ATIP,ATI Physical Therapy Inc. Class A Common Stock,,2020,NYSE,ATIP
ATKR,Atkore Inc. Common Stock,United States,2016,NYSE,ATKR
ATMR,Altimar Acquisition Corp. II Class A Ordinary Shares,,2021,NYSE,ATMR
ATO,Atmos Energy Corporation Common Stock,United States,,NYSE,ATO
ATR,AptarGroup Inc. Common Stock,United States,,NYSE,ATR
ATTO,Atento S.A. Ordinary Shares,,2014,NYSE,ATTO
ATUS,Altice USA Inc. Class A Common Stock,United States,2017,NYSE,ATUS
AU,AngloGold Ashanti Limited Common Stock,South Africa,,NYSE,AU
AUD,Audacy Common Stock,United States,,NYSE,AUD
AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,,2021,NYSE,AUS
AUY,Yamana Gold Inc. Ordinary Shares (Canada),Canada,,NYSE,AUY
AVA,Avista Corporation Common Stock,United States,,NYSE,AVA
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),,2014,NYSE,AVAL
AVAN,Avanti Acquisition Corp. Class A Ordinary Shares,Cayman Islands,2020,NYSE,AVAN
AVB,AvalonBay Communities Inc. Common Stock,United States,,NYSE,AVB
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States,,NYSE,AVD
AVK,Advent Convertible and Income Fund,United States,2003,NYSE,AVK
AVLR,Avalara Inc. Common Stock,United States,2018,NYSE,AVLR
AVNS,Avanos Medical Inc. Common Stock,United States,2014,NYSE,AVNS
AVNT,Avient Corporation Common Stock,United States,,NYSE,AVNT
AVTR,Avantor Inc. Common Stock,,2019,NYSE,AVTR
AVTR^A,Avantor Inc. Series A Mandatory Convertible Preferred Stock,,,NYSE,AVTR.A
AVY,Avery Dennison Corporation Common Stock,United States,,NYSE,AVY
AVYA,Avaya Holdings Corp. Common Stock,,,NYSE,AVYA
AWF,Alliancebernstein Global High Income Fund,United States,1993,NYSE,AWF
AWI,Armstrong World Industries Inc Common Stock,United States,,NYSE,AWI
AWK,American Water Works Company Inc. Common Stock,United States,2008,NYSE,AWK
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,United States,2007,NYSE,AWP
AWR,American States Water Company Common Stock,United States,,NYSE,AWR
AX,Axos Financial Inc. Common Stock,United States,2018,NYSE,AX
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,,NYSE,AXL
AXP,American Express Company Common Stock,United States,,NYSE,AXP
AXR,AMREP Corporation Common Stock,United States,,NYSE,AXR
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,2003,NYSE,AXS
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,Bermuda,,NYSE,AXS.E
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,2014,NYSE,AXTA
AYI,Acuity Brands Inc. ,United States,,NYSE,AYI
AYX,Alteryx Inc. Class A Common Stock,United States,2017,NYSE,AYX
AZEK,The AZEK Company Inc. Class A Common Stock,United States,2020,NYSE,AZEK
AZO,AutoZone Inc. Common Stock,United States,,NYSE,AZO
AZRE,Azure Power Global Limited Equity Shares,India,2016,NYSE,AZRE
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,2017,NYSE,AZUL
AZZ,AZZ Inc.,United States,,NYSE,AZZ
B,Barnes Group Inc. Common Stock,United States,,NYSE,B
BA,Boeing Company (The) Common Stock,United States,,NYSE,BA
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,2014,NYSE,BABA
BAC,Bank of America Corporation Common Stock,United States,,NYSE,BAC
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,United States,,NYSE,BAC.B
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,United States,,NYSE,BAC.E
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,United States,,NYSE,BAC.K
